,symbol,date,open,high,low,close,volume,adjusted
154,TSLA,8/14/2023,235.6999969,240.6600037,233.75,239.7599945,98595300,239.7599945
155,TSLA,8/15/2023,238.7299957,240.5,232.6100006,232.9600067,88197600,232.9600067
156,TSLA,8/16/2023,228.0200043,233.9700012,225.3800049,225.6000061,112484500,225.6000061
157,TSLA,8/17/2023,226.0599976,226.7400055,218.8300018,219.2200012,120718400,219.2200012
158,TSLA,8/18/2023,214.1199951,217.5800018,212.3600006,215.4900055,135813700,215.4900055
159,TSLA,8/21/2023,221.5500031,232.1300049,220.5800018,231.2799988,135702700,231.2799988
160,TSLA,8/22/2023,240.25,240.8200073,229.5500031,233.1900024,130597900,233.1900024
161,TSLA,8/23/2023,229.3399963,238.9799957,229.2899933,236.8600006,101077600,236.8600006
162,TSLA,8/24/2023,238.6600037,238.9199982,228.1799927,230.0399933,99777400,230.0399933
163,TSLA,8/25/2023,231.3099976,239,230.3500061,238.5899963,106612200,238.5899963
164,TSLA,8/28/2023,242.5800018,244.3800049,235.3500061,238.8200073,107673700,238.8200073
165,TSLA,8/29/2023,238.5800018,257.480011,237.7700043,257.1799927,134047600,257.1799927
166,TSLA,8/30/2023,254.1999969,260.5100098,250.5899963,256.8999939,121988400,256.8999939
167,TSLA,8/31/2023,255.9799957,261.1799927,255.0500031,258.0799866,108861700,258.0799866
168,TSLA,9/1/2023,257.2600098,259.0799866,242.0099945,245.0099945,132272500,245.0099945
169,TSLA,9/5/2023,245,258,244.8600006,256.4899902,129469600,256.4899902
170,TSLA,9/6/2023,255.1399994,255.3899994,245.0599976,251.9199982,116959800,251.9199982
171,TSLA,9/7/2023,245.0700073,252.8099976,243.2700043,251.4900055,115312900,251.4900055
172,TSLA,9/8/2023,251.2200012,256.519989,246.6699982,248.5,118367700,248.5
173,TSLA,9/11/2023,264.269989,274.8500061,260.6099854,273.5799866,174667900,273.5799866
174,TSLA,9/12/2023,270.7600098,278.3900146,266.6000061,267.480011,135999900,267.480011
175,TSLA,9/13/2023,270.0700073,274.980011,268.1000061,271.2999878,111673700,271.2999878
176,TSLA,9/14/2023,271.3200073,276.7099915,270.4200134,276.0400085,107709800,276.0400085
177,TSLA,9/15/2023,277.5499878,278.980011,271,274.3900146,133422800,274.3900146
178,TSLA,9/18/2023,271.1600037,271.4400024,263.7600098,265.2799988,101543300,265.2799988
179,TSLA,9/19/2023,264.3500061,267.8500061,261.2000122,266.5,103704000,266.5
180,TSLA,9/20/2023,267.0400085,273.9299927,262.4599915,262.5899963,122514600,262.5899963
181,TSLA,9/21/2023,257.8500061,260.8599854,254.2100067,255.6999969,119531000,255.6999969
182,TSLA,9/22/2023,257.3999939,257.7900085,244.4799957,244.8800049,127524100,244.8800049
183,TSLA,9/25/2023,243.3800049,247.1000061,238.3099976,246.9900055,104636600,246.9900055
184,TSLA,9/26/2023,242.9799957,249.5500031,241.6600037,244.1199951,101993600,244.1199951
185,TSLA,9/27/2023,244.2599945,245.3300018,234.5800018,240.5,136597200,240.5
186,TSLA,9/28/2023,240.0200043,247.5500031,238.6499939,246.3800049,117058900,246.3800049
187,TSLA,9/29/2023,250,254.7700043,246.3500061,250.2200012,128346200,250.2200012
188,TSLA,10/2/2023,244.8099976,254.2799988,242.6199951,251.6000061,123810400,251.6000061
189,TSLA,10/3/2023,248.6100006,250.0200043,244.4499969,246.5299988,101985300,246.5299988
190,TSLA,10/4/2023,248.1399994,261.8599854,247.6000061,261.1600037,129721600,261.1600037
191,TSLA,10/5/2023,260,263.6000061,256.25,260.0499878,119159200,260.0499878
192,TSLA,10/6/2023,253.9799957,261.6499939,250.6499939,260.5299988,117947000,260.5299988
193,TSLA,10/9/2023,255.3099976,261.3599854,252.0500031,259.6700134,101377900,259.6700134
194,TSLA,10/10/2023,257.75,268.9400024,257.6499939,263.6199951,122656000,263.6199951
195,TSLA,10/11/2023,266.2000122,268.6000061,260.8999939,262.9899902,103706300,262.9899902
196,TSLA,10/12/2023,262.9200134,265.4100037,256.6300049,258.8699951,111508100,258.8699951
197,TSLA,10/13/2023,258.8999939,259.6000061,250.2200012,251.1199951,102073800,251.1199951
198,TSLA,10/16/2023,250.0500031,255.3999939,248.4799957,253.9199982,88917200,253.9199982
199,TSLA,10/17/2023,250.1000061,257.1799927,247.0800018,254.8500061,93562900,254.8500061
200,TSLA,10/18/2023,252.6999969,254.6300049,242.0800018,242.6799927,125147800,242.6799927
201,TSLA,10/19/2023,225.9499969,230.6100006,216.7799988,220.1100006,170772700,220.1100006
202,TSLA,10/20/2023,217.0099945,218.8600006,210.4199982,211.9900055,137734000,211.9900055
203,TSLA,10/23/2023,210,216.9799957,202.5099945,212.0800018,150683400,212.0800018
204,TSLA,10/24/2023,216.5,222.0500031,214.1100006,216.5200043,118231100,216.5200043
205,TSLA,10/25/2023,215.8800049,220.1000061,212.1999969,212.4199982,107065100,212.4199982
206,TSLA,10/26/2023,211.3200073,214.8000031,204.8800049,205.7599945,115112600,205.7599945
207,TSLA,10/27/2023,210.6000061,212.4100037,205.7700043,207.3000031,94881200,207.3000031
208,TSLA,10/30/2023,209.2799988,210.8800049,194.6699982,197.3600006,136448200,197.3600006
209,TSLA,10/31/2023,196.1199951,202.8000031,194.0700073,200.8399963,118068300,200.8399963
210,TSLA,11/1/2023,204.0399933,205.9900055,197.8500061,205.6600037,121661700,205.6600037
211,TSLA,11/2/2023,212.9700012,219.1999969,211.4499969,218.5099945,125987600,218.5099945
212,TSLA,11/3/2023,221.1499939,226.3699951,218.3999939,219.9600067,119281000,219.9600067
213,TSLA,11/6/2023,223.9799957,226.3200073,215,219.2700043,117335800,219.2700043
214,TSLA,11/7/2023,219.9799957,223.1199951,215.7200012,222.1799927,116900100,222.1799927
215,TSLA,11/8/2023,223.1499939,224.1499939,217.6399994,222.1100006,106584800,222.1100006
216,TSLA,11/9/2023,219.75,220.8000031,206.6799927,209.9799957,142110500,209.9799957
217,TSLA,11/10/2023,210.0299988,215.3800049,205.6900024,214.6499939,130994000,214.6499939
218,TSLA,11/13/2023,215.6000061,225.3999939,211.6100006,223.7100067,140447600,223.7100067
219,TSLA,11/14/2023,235.0299988,238.1399994,230.7200012,237.4100037,149771600,237.4100037
220,TSLA,11/15/2023,239.2899933,246.6999969,236.4499969,242.8399963,150354000,242.8399963
221,TSLA,11/16/2023,239.4900055,240.8800049,230.9600067,233.5899963,136816800,233.5899963
222,TSLA,11/17/2023,232,237.3899994,226.5399933,234.3000031,142532800,234.3000031
223,TSLA,11/20/2023,234.0399933,237.1000061,231.0200043,235.6000061,116320100,235.6000061
224,TSLA,11/21/2023,235.0399933,243.6199951,233.3399963,241.1999969,122288000,241.1999969
225,TSLA,11/22/2023,242.0399933,244.0099945,231.3999939,234.2100067,117950600,234.2100067
226,TSLA,11/24/2023,233.75,238.75,232.3300018,235.4499969,65125200,235.4499969
227,TSLA,11/27/2023,236.8899994,238.3300018,232.1000061,236.0800018,112031800,236.0800018
